ALO,VER,PER,LEC,HAM,RUS,SAI,OCO,NOR
,,,,,,,,
,0 days 00:01:15.655000,,,0 days 00:01:15.655000,,,,
,0 days 00:02:05.478000,,,0 days 00:02:05.478000,,,,
,0 days 00:01:15.718000,,,0 days 00:01:15.718000,,,,
,0 days 00:01:28.200000,,,0 days 00:01:28.200000,,,,
,0 days 00:02:15.249000,,,0 days 00:02:15.249000,,,,
,0 days 00:01:14.968000,,,0 days 00:01:14.968000,,,,
,0 days 00:01:47.059000,,,0 days 00:01:47.059000,,,,
,,,,,,,,
,0 days 00:01:13.907000,,,0 days 00:01:13.907000,,,,
,0 days 00:01:31.981000,,,0 days 00:01:31.981000,,,,
,,,,,,,,
,0 days 00:01:20.186000,,,0 days 00:01:20.186000,,,,
,0 days 00:01:19.654000,,,0 days 00:01:19.654000,,,,
,0 days 00:01:20.302000,,,0 days 00:01:20.302000,,,,
,0 days 00:01:20.349000,,,0 days 00:01:20.349000,,,,
,0 days 00:01:20.189000,,,0 days 00:01:20.189000,,,,
,0 days 00:01:19.877000,,,0 days 00:01:19.877000,,,,
,0 days 00:01:19.713000,,,0 days 00:01:19.713000,,,,
,0 days 00:01:19.623000,,,0 days 00:01:19.623000,,,,
,0 days 00:01:19.630000,,,0 days 00:01:19.630000,,,,
,0 days 00:01:23.402000,,,0 days 00:01:23.402000,,,,
,0 days 00:01:40.751000,,,0 days 00:01:40.751000,,,,
,0 days 00:01:19.170000,,,0 days 00:01:19.170000,,,,
,0 days 00:01:19.103000,,,0 days 00:01:19.103000,,,,
,0 days 00:01:19.480000,,,0 days 00:01:19.480000,,,,
,0 days 00:01:19.472000,,,0 days 00:01:19.472000,,,,
,0 days 00:01:19.583000,,,0 days 00:01:19.583000,,,,
,0 days 00:01:25.581000,,,0 days 00:01:25.581000,,,,
,0 days 00:01:19.426000,,,0 days 00:01:19.426000,,,,
,0 days 00:01:19.456000,,,0 days 00:01:19.456000,,,,
,0 days 00:01:18.679000,,,0 days 00:01:18.679000,,,,
,,,,,,,,
,0 days 00:01:53.863000,,,0 days 00:01:53.863000,,,,
,,,,,,,,
,,,,,0 days 00:01:17.731000,,,
,,,,,0 days 00:01:37.211000,,,
,,,,,0 days 00:01:23.906000,,,
,,,,,0 days 00:01:44.813000,,,
,,,,,0 days 00:01:31.935000,,,
,,,,,0 days 00:01:35.337000,,,
,,,,,0 days 00:01:49.736000,,,
,,,,,0 days 00:01:15.771000,,,
,,,,,0 days 00:01:39.344000,,,
,,,,,,,,
,,,,,0 days 00:01:14.392000,,,
,,,,,0 days 00:01:39.819000,,,
,,,,,,,,
,,,,,0 days 00:01:20.711000,,,
,,,,,0 days 00:01:20.515000,,,
,,,,,0 days 00:01:20.314000,,,
,,,,,0 days 00:01:20.074000,,,
,,,,,0 days 00:01:20.657000,,,
,,,,,0 days 00:01:20.559000,,,
,,,,,0 days 00:01:19.998000,,,
,,,,,0 days 00:01:20.525000,,,
,,,,,0 days 00:01:20.383000,,,
,,,,,0 days 00:01:20.407000,,,
,,,,,0 days 00:01:20.446000,,,
,,,,,0 days 00:01:22.965000,,,
,,,,,0 days 00:01:20.678000,,,
,,,,,0 days 00:01:21.063000,,,
,,,,,0 days 00:01:21.141000,,,
,,,,,0 days 00:01:56.651000,,,
,,,,,0 days 00:01:58.771000,,,
,,,,,,,,
,,,,,,0 days 00:01:14.999000,,
,,,,,,0 days 00:02:16.731000,,
,,,,,,,,
,,,,,,0 days 00:01:15.522000,,
,,,,,,0 days 00:01:55.947000,,
,,,,,,,,
,,,,,,0 days 00:01:14.274000,,
,,,,,,0 days 00:01:47.741000,,
,,,,,,,,
,,,,,,0 days 00:01:20.066000,,
,,,,,,0 days 00:01:20.256000,,
,,,,,,0 days 00:01:20.021000,,
,,,,,,0 days 00:01:20.340000,,
,,,,,,0 days 00:01:20.368000,,
,,,,,,0 days 00:01:20.273000,,
,,,,,,0 days 00:01:20.391000,,
,,,,,,0 days 00:01:20.393000,,
,,,,,,0 days 00:01:20.724000,,
,,,,,,0 days 00:01:20.553000,,
,,,,,,0 days 00:01:20.631000,,
,,,,,,0 days 00:01:25.307000,,
,,,,,,0 days 00:01:40.273000,,
,,,,,,0 days 00:01:20.146000,,
,,,,,,0 days 00:01:19.511000,,
,,,,,,0 days 00:01:19.665000,,
,,,,,,0 days 00:01:19.986000,,
,,,,,,0 days 00:01:19.975000,,
,,,,,,0 days 00:01:35.533000,,
,,,,,,0 days 00:01:19.725000,,
,,,,,,0 days 00:01:59.399000,,
,,,,,,0 days 00:02:06.841000,,
,,,,,,,,
,,,,,,,0 days 00:01:16.303000,
,,,,,,,0 days 00:02:04.694000,
,,,,,,,0 days 00:01:15.999000,
,,,,,,,0 days 00:01:59.838000,
,,,,,,,0 days 00:01:16.020000,
,,,,,,,0 days 00:01:41.262000,
,,,,,,,,
,,,,,,,0 days 00:01:14.242000,
,,,,,,,0 days 00:02:15.484000,
,,,,,,,0 days 00:02:18.432000,
,,,,,,,0 days 00:01:14.808000,
,,,,,,,0 days 00:01:43.548000,
,,,,,,,,
,,,,,,,0 days 00:01:20.174000,
,,,,,,,0 days 00:01:19.606000,
,,,,,,,0 days 00:01:20.216000,
,,,,,,,0 days 00:01:20.661000,
,,,,,,,0 days 00:01:20.548000,
,,,,,,,0 days 00:01:21.072000,
,,,,,,,0 days 00:01:20.829000,
,,,,,,,0 days 00:01:21.068000,
,,,,,,,0 days 00:01:21.226000,
,,,,,,,0 days 00:01:21.864000,
,,,,,,,0 days 00:01:21.664000,
,,,,,,,0 days 00:01:21.488000,
,,,,,,,0 days 00:01:20.870000,
,,,,,,,0 days 00:01:21.067000,
,,,,,,,0 days 00:02:04.282000,
,,,,,,,0 days 00:02:10.486000,
,,,,,,,,
,,,0 days 00:01:15.600000,,,,,
,,,0 days 00:02:17.688000,,,,,
,,,,,,,,
,,,0 days 00:01:15.222000,,,,,
,,,0 days 00:01:44.232000,,,,,
,,,,,,,,
,,,0 days 00:01:14.246000,,,,,
,,,0 days 00:01:49.165000,,,,,
,,,,,,,,
,,,0 days 00:01:21.089000,,,,,
,,,0 days 00:01:20.147000,,,,,
,,,0 days 00:01:20.256000,,,,,
,,,0 days 00:01:19.940000,,,,,
,,,0 days 00:01:20.126000,,,,,
,,,0 days 00:01:20.777000,,,,,
,,,0 days 00:01:23.975000,,,,,
,,,0 days 00:01:46.633000,,,,,
,,,0 days 00:01:20.225000,,,,,
,,,0 days 00:01:19.769000,,,,,
,,,0 days 00:01:20.305000,,,,,
,,,0 days 00:01:19.844000,,,,,
,,,0 days 00:01:20.019000,,,,,
,,,0 days 00:01:19.881000,,,,,
,,,0 days 00:01:19.998000,,,,,
,,,0 days 00:01:20.439000,,,,,
,,,0 days 00:01:20.763000,,,,,
,,,0 days 00:01:20.641000,,,,,
,,,0 days 00:01:20.730000,,,,,
,,,0 days 00:01:20.687000,,,,,
,,,0 days 00:01:58.809000,,,,,
,,,0 days 00:02:06.546000,,,,,
,,,,,,,,
0 days 00:01:17.793000,,,,,,,,
0 days 00:01:17.245000,,,,,,,,
0 days 00:01:17.364000,,,,,,,,
0 days 00:01:18.107000,,,,,,,,
0 days 00:01:22.191000,,,,,,,,
0 days 00:02:02.689000,,,,,,,,
0 days 00:01:15.691000,,,,,,,,
0 days 00:01:54.900000,,,,,,,,
0 days 00:01:15.373000,,,,,,,,
0 days 00:02:01.025000,,,,,,,,
0 days 00:01:15.848000,,,,,,,,
0 days 00:01:31.081000,,,,,,,,
,,,,,,,,
0 days 00:01:14.077000,,,,,,,,
0 days 00:02:18.031000,,,,,,,,
0 days 00:01:14.261000,,,,,,,,
0 days 00:01:45.089000,,,,,,,,
,,,,,,,,
0 days 00:01:20.420000,,,,,,,,
0 days 00:01:23.905000,,,,,,,,
0 days 00:02:19.516000,,,,,,,,
0 days 00:01:19.885000,,,,,,,,
0 days 00:01:20.134000,,,,,,,,
0 days 00:01:23.503000,,,,,,,,
0 days 00:01:21.064000,,,,,,,,
0 days 00:01:19.812000,,,,,,,,
0 days 00:01:20.040000,,,,,,,,
0 days 00:02:00.422000,,,,,,,,
0 days 00:02:02.013000,,,,,,,,
,,,,,,,,
,,0 days 00:01:36.067000,,,,,,
,,0 days 00:01:56.090000,,,,,,
,,0 days 00:01:16.982000,,,,,,
,,0 days 00:01:32.805000,,,,,,
,,0 days 00:02:03.461000,,,,,,
,,0 days 00:01:15.524000,,,,,,
,,0 days 00:01:53.753000,,,,,,
,,0 days 00:01:52.372000,,,,,,
,,0 days 00:01:15.529000,,,,,,
,,0 days 00:01:31.542000,,,,,,
,,,,,,,,
,,0 days 00:01:14.219000,,,,,,
,,0 days 00:01:28.563000,,,,,,
,,,,,,,,
,,0 days 00:01:20.625000,,,,,,
,,0 days 00:01:24.451000,,,,,,
,,0 days 00:01:19.572000,,,,,,
,,0 days 00:01:19.876000,,,,,,
,,0 days 00:01:20.327000,,,,,,
,,0 days 00:01:20.959000,,,,,,
,,0 days 00:01:21.009000,,,,,,
,,0 days 00:01:25.967000,,,,,,
,,0 days 00:01:20.530000,,,,,,
,,0 days 00:01:20.665000,,,,,,
,,0 days 00:01:21.007000,,,,,,
,,0 days 00:01:24.812000,,,,,,
,,0 days 00:01:39.215000,,,,,,
,,0 days 00:02:27.608000,,,,,,
,,0 days 00:01:38.114000,,,,,,
,,,,,,,,
,,,,,,,,0 days 00:01:16.594000
,,,,,,,,0 days 00:02:14.923000
,,,,,,,,0 days 00:01:15.926000
,,,,,,,,0 days 00:02:15.943000
,,,,,,,,0 days 00:01:15.997000
,,,,,,,,0 days 00:01:33.894000
,,,,,,,,
,,,,,,,,0 days 00:01:22.011000
,,,,,,,,0 days 00:02:15.273000
,,,,,,,,0 days 00:01:50.914000
,,,,,,,,0 days 00:01:14.694000
,,,,,,,,0 days 00:01:42.901000
,,,,,,,,
,,,,,,,,0 days 00:01:20.769000
,,,,,,,,0 days 00:01:21.004000
,,,,,,,,0 days 00:01:24.569000
,,,,,,,,0 days 00:01:39.687000
,,,,,,,,0 days 00:01:19.571000
,,,,,,,,0 days 00:01:19.809000
,,,,,,,,0 days 00:01:19.627000
,,,,,,,,0 days 00:01:20.481000
,,,,,,,,0 days 00:01:20.420000
,,,,,,,,0 days 00:01:21.016000
,,,,,,,,0 days 00:01:20.606000
,,,,,,,,0 days 00:01:20.600000
,,,,,,,,0 days 00:01:21.116000
,,,,,,,,0 days 00:01:21.140000
,,,,,,,,0 days 00:01:46.704000
,,,,,,,,0 days 00:01:53.120000
